# F4 intake. One row per REQUIRED ARPAbet consonant. Durations in MILLISECONDS.
#
# AUTHORITATIVE SOURCE (spec-owner decision): Klatt, D. H. (1979), 'Synthesis by Rule
# of Segmental Durations in English Sentences', Table 1.
#   d_nominal_ms = INHDUR (inherent duration)
#   d_floor_ms   = MINDUR (minimum stressed duration)
# Set 'source' to: Klatt (1979)   and 'page_or_table' to: Table 1
#
# 22 ROWS, NOT 24. CH and JH are DEFERRED from V1 (spec-owner decision, recorded in
# phone_durations.json -> v1_deferred_phones). Do not add a row for either: a CH or JH
# row is an ERROR whether it is filled or left blank. A blank one would read as a gap
# still to be filled; a filled one would undefer the phone without the scope decision
# that undeferring requires. Lines that would need those phones are kept out of the F7
# pool by the eligibility guard in vae/pairs.py, not rescued by a value here.
#
# Festival lib/klatt_durs.scm / Allen, Hunnicutt & Klatt (1987) ch. 9 is DIAGNOSTIC
# ONLY. Its values differ from Klatt 1979 and must never be imported, averaged or
# merged into this file.
#
# d_floor_ms must be <= d_nominal_ms. 'source' and 'page_or_table' are mandatory.
# Leave an uncovered phone's row BLANK so it is REPORTED as a gap; a half-filled row
# is an error. Nothing is ever defaulted.
arpabet,d_nominal_ms,d_floor_ms,source,page_or_table,notes
B,80,50,Klatt (1979),Table 1,
D,65,40,Klatt (1979),Table 1,
DH,50,30,Klatt (1979),Table 1,
F,120,60,Klatt (1979),Table 1,
G,65,50,Klatt (1979),Table 1,
HH,80,20,Klatt (1979),Table 1,
K,65,50,Klatt (1979),Table 1,
L,80,40,Klatt (1979),Table 1,
M,70,60,Klatt (1979),Table 1,
N,65,35,Klatt (1979),Table 1,
NG,80,50,Klatt (1979),Table 1,
P,85,50,Klatt (1979),Table 1,
R,80,30,Klatt (1979),Table 1,
S,125,50,Klatt (1979),Table 1,
SH,125,50,Klatt (1979),Table 1,
T,65,40,Klatt (1979),Table 1,
TH,110,80,Klatt (1979),Table 1,
V,60,40,Klatt (1979),Table 1,
W,80,60,Klatt (1979),Table 1,
Y,80,40,Klatt (1979),Table 1,
Z,75,40,Klatt (1979),Table 1,
ZH,70,40,Klatt (1979),Table 1,
